"1","NY","New York",,"8008278","40.7","-73.92","10001"
"2","CA","Los Angeles",,"3694820","34.09","-118.38","90001"
"3","IL","Chicago",,"2896016","41.84","-87.68","60064"
"4","TX","Houston",,"1953631","29.76","-95.38","77001"
"5","PA","Philadelphia",,"1517550","40","-75.14","17959"
"6","AZ","Phoenix",,"1321045","33.53","-112.08","85001"
"7","CA","San Diego",,"1223400","32.78","-117.15","92101"
"8","TX","Dallas",,"1188580","32.8","-96.79","75065"
"9","TX","San Antonio",,"1144646","29.45","-98.51","78201"
"10","MI","Detroit",,"951270","42.39","-83.1","48021"
"11","CA","San Jose",,"894943","37.3","-121.87","95101"
"12","IN","Indianapolis",,"781870","39.79","-86.15","46201"
"13","CA","San Francisco",,"776733","37.76","-122.44","94080"
"14","FL","Jacksonville",,"735617","30.32","-81.66","32099"
"15","OH","Columbus",,"711470","39.99","-82.99","43085"
"16","TX","Austin",,"656562","30.3","-97.75","73301"
"17","MD","Baltimore",,"651154","39.31","-76.62","21201"
"18","TN","Memphis",,"650100","35.12","-89.97","37501"
"19","WI","Milwaukee",,"596974","43.05","-87.96","53172"
"20","MA","Boston",,"589141","42.32","-71.09","02108"
"21","TX","El Paso",,"563662","31.79","-106.42","79901"
"22","WA","Seattle",,"563374","47.63","-122.33","98101"
"23","CO","Denver",,"554636","39.73","-104.97","80002"
"24","TN","Nashville-Davidson",,"545524","36.15","-86.76",""
"25","NC","Charlotte",,"540828","35.21","-80.83","28201"
"26","TX","Fort Worth",,"534694","32.74","-97.33","76101"
"27","OR","Portland",,"529121","45.52","-122.64","97086"
"28","OK","Oklahoma City",,"506132","35.48","-97.53","73101"
"29","AZ","Tucson",,"486699","32.21","-110.92","85634"
"30","LA","New Orleans",,"484674","29.97","-90.06","70112"
"31","NV","Las Vegas",,"478434","36.19","-115.22","89030"
"32","OH","Cleveland",,"478403","41.48","-81.67","44101"
"33","CA","Long Beach",,"461522","33.8","-118.16","90745"
"34","NM","Albuquerque",,"448607","35.11","-106.61","87101"
"35","MO","Kansas City",,"441545","39.08","-94.56","64101"
"36","CA","Fresno",,"427652","36.78","-119.79","93650"
"37","VA","Virginia Beach",,"425257","36.83","-76.09","23450"
"38","GA","Atlanta",,"416474","33.76","-84.4","30060"
"39","CA","Sacramento",,"407018","38.56","-121.47","94203"
"40","CA","Oakland",,"399484","37.8","-122.23","94601"
"41","AZ","Mesa",,"396375","33.41","-111.75","85201"
"42","OK","Tulsa",,"393049","36.13","-95.94","74101"
"43","NE","Omaha",,"390007","41.26","-96.01","68046"
"44","MN","Minneapolis",,"382618","44.96","-93.27","55401"
"45","HI","Honolulu",,"371657","21.31","-157.83","96801"
"46","FL","Miami",,"362470","25.79","-80.22","33010"
"47","CO","Colorado Springs",,"360890","38.86","-104.79","80840"
"48","MO","St. Louis",,"348189","38.63","-90.24","63367"
"49","KS","Wichita",,"344284","37.69","-97.34","67147"
"50","CA","Santa Ana",,"337977","33.74","-117.88","92701"
"51","PA","Pittsburgh",,"334563","40.44","-79.98","15112"
"52","TX","Arlington",,"332969","32.71","-97.12","76001"
"53","OH","Cincinnati",,"331285","39.14","-84.5","45201"
"54","CA","Anaheim",,"328014","33.84","-117.89","92801"
"55","OH","Toledo",,"313619","41.67","-83.58","43601"
"56","FL","Tampa",,"303447","27.97","-82.46","33601"
"57","NY","Buffalo",,"292648","42.9","-78.85","14201"
"58","MN","St. Paul",,"287151","44.95","-93.11","55071"
"59","TX","Corpus Christi",,"277454","27.74","-97.4","78401"
"60","CO","Aurora",,"276393","39.7","-104.81","80010"
"61","NC","Raleigh",,"276093","35.82","-78.64","27601"
"62","NJ","Newark",,"273546","40.74","-74.18","07029"
"63","KY","Lexington-Fayette",,"260512","38.03","-84.49",""
"64","AK","Anchorage",,"260283","61.19","-149.76","99501"
"65","KY","Louisville",,"256231","38.23","-85.75","40201"
"66","CA","Riverside",,"255166","33.95","-117.4","92501"
"67","FL","St. Petersburg",,"248232","27.78","-82.67","33701"
"68","CA","Bakersfield",,"247057","35.36","-119.03","93263"
"69","CA","Stockton",,"243771","37.98","-121.3","95201"
"70","AL","Birmingham",,"242820","33.52","-86.81","35201"
"71","NJ","Jersey City",,"240055","40.72","-74.07","07097"
"72","VA","Norfolk",,"234403","36.89","-76.26","23324"
"73","LA","Baton Rouge",,"227818","30.46","-91.14","70801"
"74","FL","Hialeah",,"226419","25.86","-80.29","33002"
"75","NE","Lincoln",,"225581","40.81","-96.68","68501"
"76","NC","Greensboro",,"223891","36.08","-79.82","27401"
"77","TX","Plano",,"222030","33.05","-96.75","75023"
"78","NY","Rochester",,"219773","43.17","-77.61","14445"
"79","AZ","Glendale",,"218812","33.58","-112.2","85301"
"80","OH","Akron",,"217074","41.07","-81.52","44301"
"81","TX","Garland",,"215768","32.91","-96.64","75040"
"82","WI","Madison",,"208054","43.07","-89.39","53562"
"83","IN","Fort Wayne",,"205727","41.08","-85.13","46801"
"84","CA","Fremont",,"203413","37.54","-121.98","93501"
"85","AZ","Scottsdale",,"202705","33.59","-111.9","85250"
"86","AL","Montgomery",,"201568","32.36","-86.28","36101"
"87","LA","Shreveport",,"200145","32.47","-93.77","71101"
"88","TX","Lubbock",,"199564","33.56","-101.88","79401"
"89","VA","Chesapeake",,"199184","36.77","-76.29","23320"
"90","AL","Mobile",,"198915","30.68","-88.1","36601"
"91","IA","Des Moines",,"198682","41.59","-93.62","50061"
"92","MI","Grand Rapids",,"197800","42.96","-85.66","49501"
"93","VA","Richmond",,"197790","37.54","-77.46","22109"
"94","NY","Yonkers",,"196086","40.94","-73.86","10701"
"95","WA","Spokane",,"195629","47.67","-117.41","99016"
"96","GA","Augusta-Richmond County",,"195182","33.43","-82.02",""
"97","CA","Glendale",,"194973","34.17","-118.25","91201"
"98","WA","Tacoma",,"193556","47.24","-122.46","98401"
"99","TX","Irving",,"191615","32.85","-96.97","75014"
"100","CA","Huntington Beach",,"189594","33.69","-118","92605"
"101","VA","Arlington",,"189453","38.88","-77.11","20598"
"102","CA","Modesto",,"188856","37.66","-120.99","95350"
"103","NC","Durham",,"187035","35.99","-78.91","27701"
"104","NV","Paradise",,"186070","36.08","-115.12","89426"
"105","FL","Orlando",,"185951","28.53","-81.38","32801"
"106","ID","Boise City",,"185787","43.61","-116.24",""
"107","GA","Columbus",,"185781","32.49","-84.94","31829"
"108","NC","Winston-Salem",,"185776","36.1","-80.26","27101"
"109","CA","San Bernardino",,"185401","34.13","-117.29","92401"
"110","MS","Jackson",,"184256","32.32","-90.2","39201"
"111","AR","Little Rock",,"183133","34.74","-92.33","72076"
"112","UT","Salt Lake City",,"181743","40.75","-111.89","84101"
"113","NV","Reno",,"180480","39.53","-119.82","89501"
"114","VA","Newport News",,"180150","37.07","-76.48","23601"
"115","AZ","Chandler",,"176581","33.3","-111.86","85127"
"116","TX","Laredo",,"176576","27.52","-99.49","78040"
"117","NV","Henderson",,"175381","36.03","-115.03","89002"
"118","TN","Knoxville",,"173890","35.97","-83.94","37901"
"119","TX","Amarillo",,"173627","35.2","-101.85","79101"
"120","RI","Providence",,"173618","41.82","-71.42","02901"
"121","CA","Chula Vista",,"173556","32.63","-117.05","91909"
"122","MA","Worcester",,"172648","42.27","-71.8","01601"
"123","CA","Oxnard",,"170358","34.19","-119.18","93030"
"124","OH","Dayton",,"166179","39.76","-84.2","45390"
"125","CA","Garden Grove",,"165196","33.78","-117.96","92840"
"126","CA","Oceanside",,"161029","33.21","-117.33","92049"
"127","AZ","Tempe",,"158625","33.39","-111.93","85280"
"128","AL","Huntsville",,"158216","34.71","-86.6","35801"
"129","CA","Ontario",,"158007","34.05","-117.63","91710"
"130","NV","Sunrise Manor",,"156120","36.18","-115.06",""
"131","TN","Chattanooga",,"155554","35.05","-85.27","37401"
"132","FL","Fort Lauderdale",,"152397","26.14","-80.14","33301"
"133","MA","Springfield",,"152082","42.11","-72.55","01089"
"134","MO","Springfield",,"151580","37.2","-93.29","65801"
"135","CA","Santa Clarita",,"151088","34.42","-118.51","91310"
"136","CA","Salinas",,"151060","36.68","-121.64","93901"
"137","FL","Tallahassee",,"150624","30.45","-84.27","32301"
"138","IL","Rockford",,"150115","42.27","-89.07","61101"
"139","CA","Pomona",,"149473","34.06","-117.76","91765"
"140","NJ","Paterson",,"149222","40.92","-74.16","07424"
"141","KS","Overland Park",,"149080","38.94","-94.68","66062"
"142","CA","Santa Rosa",,"147595","38.45","-122.7","92274"
"143","NY","Syracuse",,"147306","43.05","-76.14","13057"
"144","KS","Kansas City",,"146866","39.11","-94.68","66101"
"145","VA","Hampton",,"146437","37.03","-76.36","23605"
"146","LA","Metairie",,"146136","30","-90.18","70001"
"147","CO","Lakewood",,"144126","39.71","-105.1","80123"
"148","WA","Vancouver",,"143560","45.63","-122.6","98660"
"149","CA","Irvine",,"143072","33.68","-117.79","92602"
"150","IL","Aurora",,"142990","41.76","-88.3","60502"
"151","CA","Moreno Valley",,"142381","33.93","-117.23","92551"
"152","TX","Pasadena",,"141674","29.68","-95.17","77501"
"153","CA","Hayward",,"140030","37.64","-122.08","94540"
"154","TX","Brownsville",,"139722","25.93","-97.48","78520"
"155","CT","Bridgeport",,"139529","41.19","-73.2","06601"
"156","FL","Hollywood",,"139357","26.02","-80.17","33019"
"157","MI","Warren",,"138247","42.49","-83.02","48088"
"158","CA","Torrance",,"137946","33.83","-118.34","90501"
"159","OR","Eugene",,"137893","44.06","-123.11","97401"
"160","FL","Pembroke Pines",,"137427","26.01","-80.31","33019"
"161","OR","Salem",,"136924","44.93","-123.03","97301"
"162","CA","Pasadena",,"133936","34.16","-118.13","91030"
"163","CA","Escondido",,"133559","33.12","-117.08","92025"
"164","CA","Sunnyvale",,"131760","37.37","-122.03","94085"
"165","GA","Savannah",,"131510","32.05","-81.1","31401"
"166","CA","Fontana",,"128929","34.1","-117.46","92331"
"167","CA","Orange",,"128821","33.8","-117.83","92856"
"168","IL","Naperville",,"128358","41.75","-88.16","60540"
"169","VA","Alexandria",,"128283","38.82","-77.07","20598"
"170","CA","Rancho Cucamonga",,"127743","34.12","-117.58","91701"
"171","TX","Grand Prairie",,"127427","32.72","-97.02","75050"
"172","CA","Fullerton",,"126003","33.88","-117.93","92831"
"173","CA","Corona",,"124966","33.87","-117.57","92118"
"174","MI","Flint",,"124943","43.03","-83.69","48501"
"175","TX","Mesquite",,"124523","32.78","-96.61","75149"
"176","MI","Sterling Heights",,"124471","42.58","-83.03","48310"
"177","CA","East Los Angeles",,"124283","34.03","-118.17","90022"
"178","SD","Sioux Falls",,"123975","43.54","-96.73","57101"
"179","CT","New Haven",,"123626","41.31","-72.92","06501"
"180","KS","Topeka",,"122377","39.04","-95.69","66601"
"181","CA","Concord",,"121780","37.97","-122.02","94518"
"182","IN","Evansville",,"121582","37.98","-87.55","47701"
"183","CT","Hartford",,"121578","41.76","-72.69","06057"
"184","NC","Fayetteville",,"121015","35.07","-78.92","28301"
"185","IA","Cedar Rapids",,"120758","41.98","-91.67","52401"
"186","NJ","Elizabeth",,"120568","40.66","-74.21","07201"
"187","MI","Lansing",,"119128","42.72","-84.55","48823"
"188","CA","Lancaster",,"118718","34.69","-118.15","93534"
"189","CO","Fort Collins",,"118652","40.56","-105.08","80521"
"190","FL","Coral Springs",,"117549","26.27","-80.26","33065"
"191","NV","Spring Valley",,"117390","36.11","-115.25",""
"192","CT","Stamford",,"117083","41.07","-73.54","06901"
"193","CA","Thousand Oaks",,"117005","34.19","-118.88","91319"
"194","CA","Vallejo",,"116760","38.11","-122.24","94503"
"195","CA","Palmdale",,"116670","34.58","-118.1","93550"
"196","SC","Columbia",,"116278","34.02","-81.01","29033"
"197","CA","El Monte",,"115965","34.07","-118.03","91731"
"198","TX","Abilene",,"115930","32.45","-99.75","79601"
"199","NV","North Las Vegas",,"115488","36.23","-115.15","89030"
"200","MI","Ann Arbor",,"114024","42.27","-83.74","48103"
"201","TX","Beaumont",,"113866","30.08","-94.13","77657"
"202","TX","Waco",,"113726","31.55","-97.16","76701"
"203","MO","Independence",,"113288","39.08","-94.41","64050"
"204","IL","Peoria",,"112936","40.72","-89.61","61601"
"205","CA","Inglewood",,"112580","33.96","-118.35","90301"
"206","IL","Springfield",,"111454","39.78","-89.65","62701"
