"104","NV","Paradise",,"186070","36.08","-115.12"
"105","FL","Orlando",,"185951","28.53","-81.38"
"106","ID","Boise City",,"185787","43.61","-116.24"
"107","GA","Columbus",,"185781","32.49","-84.94"
"108","NC","Winston-Salem",,"185776","36.1","-80.26"
"109","CA","San Bernardino",,"185401","34.13","-117.29"
"110","MS","Jackson",,"184256","32.32","-90.2"
"111","AR","Little Rock",,"183133","34.74","-92.33"
"112","UT","Salt Lake City",,"181743","40.75","-111.89"
"113","NV","Reno",,"180480","39.53","-119.82"
"114","VA","Newport News",,"180150","37.07","-76.48"
"115","AZ","Chandler",,"176581","33.3","-111.86"
"116","TX","Laredo",,"176576","27.52","-99.49"
"117","NV","Henderson",,"175381","36.03","-115.03"
"118","TN","Knoxville",,"173890","35.97","-83.94"
"119","TX","Amarillo",,"173627","35.2","-101.85"
"120","RI","Providence",,"173618","41.82","-71.42"
"121","CA","Chula Vista",,"173556","32.63","-117.05"
"122","MA","Worcester",,"172648","42.27","-71.8"
"123","CA","Oxnard",,"170358","34.19","-119.18"
"124","OH","Dayton",,"166179","39.76","-84.2"
"125","CA","Garden Grove",,"165196","33.78","-117.96"
"126","CA","Oceanside",,"161029","33.21","-117.33"
"127","AZ","Tempe",,"158625","33.39","-111.93"
"128","AL","Huntsville",,"158216","34.71","-86.6"
"129","CA","Ontario",,"158007","34.05","-117.63"
"130","NV","Sunrise Manor",,"156120","36.18","-115.06"
"131","TN","Chattanooga",,"155554","35.05","-85.27"
"132","FL","Fort Lauderdale",,"152397","26.14","-80.14"
"133","MA","Springfield",,"152082","42.11","-72.55"
"134","MO","Springfield",,"151580","37.2","-93.29"
"135","CA","Santa Clarita",,"151088","34.42","-118.51"
"136","CA","Salinas",,"151060","36.68","-121.64"
"137","FL","Tallahassee",,"150624","30.45","-84.27"
"138","IL","Rockford",,"150115","42.27","-89.07"
"139","CA","Pomona",,"149473","34.06","-117.76"
"140","NJ","Paterson",,"149222","40.92","-74.16"
"141","KS","Overland Park",,"149080","38.94","-94.68"
"142","CA","Santa Rosa",,"147595","38.45","-122.7"
"143","NY","Syracuse",,"147306","43.05","-76.14"
"144","KS","Kansas City",,"146866","39.11","-94.68"
"145","VA","Hampton",,"146437","37.03","-76.36"
"146","LA","Metairie",,"146136","30","-90.18"
"147","CO","Lakewood",,"144126","39.71","-105.1"
"148","WA","Vancouver",,"143560","45.63","-122.6"
"149","CA","Irvine",,"143072","33.68","-117.79"
"150","IL","Aurora",,"142990","41.76","-88.3"
"151","CA","Moreno Valley",,"142381","33.93","-117.23"
"152","TX","Pasadena",,"141674","29.68","-95.17"
"153","CA","Hayward",,"140030","37.64","-122.08"
"154","TX","Brownsville",,"139722","25.93","-97.48"
"155","CT","Bridgeport",,"139529","41.19","-73.2"
"156","FL","Hollywood",,"139357","26.02","-80.17"
"157","MI","Warren",,"138247","42.49","-83.02"
"158","CA","Torrance",,"137946","33.83","-118.34"
"159","OR","Eugene",,"137893","44.06","-123.11"
"160","FL","Pembroke Pines",,"137427","26.01","-80.31"
"161","OR","Salem",,"136924","44.93","-123.03"
"162","CA","Pasadena",,"133936","34.16","-118.13"
"163","CA","Escondido",,"133559","33.12","-117.08"
"164","CA","Sunnyvale",,"131760","37.37","-122.03"
"165","GA","Savannah",,"131510","32.05","-81.1"
"166","CA","Fontana",,"128929","34.1","-117.46"
"167","CA","Orange",,"128821","33.8","-117.83"
"168","IL","Naperville",,"128358","41.75","-88.16"
"169","VA","Alexandria",,"128283","38.82","-77.07"
"170","CA","Rancho Cucamonga",,"127743","34.12","-117.58"
"171","TX","Grand Prairie",,"127427","32.72","-97.02"
"172","CA","Fullerton",,"126003","33.88","-117.93"
"173","CA","Corona",,"124966","33.87","-117.57"
"174","MI","Flint",,"124943","43.03","-83.69"
"175","TX","Mesquite",,"124523","32.78","-96.61"
"176","MI","Sterling Heights",,"124471","42.58","-83.03"
"177","CA","East Los Angeles",,"124283","34.03","-118.17"
"178","SD","Sioux Falls",,"123975","43.54","-96.73"
"179","CT","New Haven",,"123626","41.31","-72.92"
"180","KS","Topeka",,"122377","39.04","-95.69"
"181","CA","Concord",,"121780","37.97","-122.02"
"182","IN","Evansville",,"121582","37.98","-87.55"
"183","CT","Hartford",,"121578","41.76","-72.69"
"184","NC","Fayetteville",,"121015","35.07","-78.92"
"185","IA","Cedar Rapids",,"120758","41.98","-91.67"
"186","NJ","Elizabeth",,"120568","40.66","-74.21"
"187","MI","Lansing",,"119128","42.72","-84.55"
"188","CA","Lancaster",,"118718","34.69","-118.15"
"189","CO","Fort Collins",,"118652","40.56","-105.08"
"190","FL","Coral Springs",,"117549","26.27","-80.26"
"191","NV","Spring Valley",,"117390","36.11","-115.25"
"192","CT","Stamford",,"117083","41.07","-73.54"
"193","CA","Thousand Oaks",,"117005","34.19","-118.88"
"194","CA","Vallejo",,"116760","38.11","-122.24"
"195","CA","Palmdale",,"116670","34.58","-118.1"
"196","SC","Columbia",,"116278","34.02","-81.01"
"197","CA","El Monte",,"115965","34.07","-118.03"
"198","TX","Abilene",,"115930","32.45","-99.75"
"199","NV","North Las Vegas",,"115488","36.23","-115.15"
"200","MI","Ann Arbor",,"114024","42.27","-83.74"
"201","TX","Beaumont",,"113866","30.08","-94.13"
"202","TX","Waco",,"113726","31.55","-97.16"
"203","MO","Independence",,"113288","39.08","-94.41"
"204","IL","Peoria",,"112936","40.72","-89.61"
"205","CA","Inglewood",,"112580","33.96","-118.35"
"206","IL","Springfield",,"111454","39.78","-89.65"
"207","CA","Simi Valley",,"111351","34.27","-118.74"
"208","LA","Lafayette",,"110257","30.21","-92.03"
"209","AZ","Gilbert",,"109697","33.34","-111.76"
"210","TX","Carrollton",,"109576","32.99","-96.89"
"211","WA","Bellevue",,"109569","47.6","-122.16"
"212","UT","West Valley City",,"108896","40.69","-111.99"
"213","FL","Clearwater",,"108787","27.97","-82.76"
"214","CA","Costa Mesa",,"108724","33.66","-117.91"
"215","AZ","Peoria",,"108364","33.65","-112.25"
"216","IN","South Bend",,"107789","41.67","-86.26"
"217","CA","Downey",,"107323","33.94","-118.13"
"218","CT","Waterbury",,"107271","41.56","-73.04"
"219","NH","Manchester",,"107006","42.99","-71.45"
"220","PA","Allentown",,"106632","40.6","-75.48"
"221","TX","McAllen",,"106414","26.22","-98.24"
"222","IL","Joliet",,"106221","41.53","-88.11"
"223","MA","Lowell",,"105167","42.64","-71.31"
"224","UT","Provo",,"105166","40.24","-111.66"
"225","CA","West Covina",,"105080","34.06","-117.92"
"226","TX","Wichita Falls",,"104197","33.9","-98.51"
"227","PA","Erie",,"103717","42.11","-80.08"
"228","CA","Daly City",,"103621","37.69","-122.47"
"229","TN","Clarksville",,"103455","36.56","-87.36"
"230","CA","Norwalk",,"103298","33.91","-118.08"
"231","IN","Gary",,"102746","41.58","-87.35"
"232","CA","Berkeley",,"102743","37.87","-122.27"
"233","CA","Santa Clara",,"102361","37.35","-121.97"
"234","WI","Green Bay",,"102313","44.51","-88.02"
"235","FL","Cape Coral",,"102286","26.64","-81.98"
"236","CO","Arvada",,"102153","39.82","-105.11"
"237","CO","Pueblo",,"102121","38.27","-104.62"
"238","MA","Cambridge",,"101355","42.37","-71.11"
"239","CO","Westminster",,"100940","39.87","-105.06"
"240","CA","San Buenaventura",,"100916","34.28","-119.23"
"241","VA","Portsmouth",,"100565","36.83","-76.35"
"242","MI","Livonia",,"100545","42.4","-83.37"
"243","CA","Burbank",,"100316","34.18","-118.33"
"244","GA","Athens-Clarke County",,"100266","33.96","-83.38"
"245","CA","Richmond",,"99216","37.94","-122.34"
"246","IA","Davenport",,"98359","41.54","-90.59"
"247","MI","Dearborn",,"97775","42.31","-83.22"
"248","NJ","Edison",,"97687","40.54","-74.38"
"249","GA","Macon",,"97255","32.83","-83.65"
"250","SC","Charleston",,"96650","32.79","-79.99"
"251","CA","South Gate",,"96375","33.94","-118.19"
"252","CA","Fairfield",,"96178","38.26","-122.05"
"253","CA","Arden-Arcade",,"96025","38.61","-121.38"
"254","OK","Norman",,"95694","35.22","-97.42"
"255","NY","Albany",,"95658","42.66","-73.78"
"256","MI","Clinton",,"95648","42.58","-82.92"
"257","FL","Gainesville",,"95447","29.67","-82.34"
"258","TX","Midland",,"94996","32.01","-102.1"
"259","VA","Roanoke",,"94911","37.28","-79.96"
"260","CA","El Cajon",,"94869","32.8","-116.96"
"261","CO","Boulder",,"94673","40.02","-105.26"
"262","NC","Cary",,"94536","35.78","-78.8"
"263","IL","Elgin",,"94487","42.04","-88.29"
"264","MA","Brockton",,"94304","42.08","-71.02"
"265","MA","New Bedford",,"93768","41.65","-70.93"
"266","CA","Compton",,"93493","33.9","-118.23"
"267","CA","Mission Viejo",,"93102","33.61","-117.66"
"268","KS","Olathe",,"92962","38.88","-94.8"
"269","OK","Lawton",,"92757","34.61","-98.42"
"270","CA","San Mateo",,"92482","37.55","-122.31"
"271","CA","Santa Barbara",,"92325","34.43","-119.71"
"272","MA","Fall River",,"91938","41.7","-71.15"
"273","CA","Rialto",,"91873","34.11","-117.38"
"274","TX","Richardson",,"91802","32.97","-96.72"
"275","CA","Visalia",,"91565","36.32","-119.31"
"276","WA","Everett",,"91488","47.96","-122.2"
"277","TX","Odessa",,"90943","31.86","-102.37"
"278","ND","Fargo",,"90599","46.87","-96.81"
"279","CA","Antioch",,"90532","37.99","-121.8"
"280","WI","Kenosha",,"90352","42.58","-87.85"
